srcStateName,Year,Crime head IPC ( Indian Penal Code ) Category,Crime head IPC ( Indian Penal Code ) Sub-category,Incidence of IPC ( Indian Penal Code ) crimes,Victims of IPC ( Indian Penal Code ) crimes,IPC ( Indian Penal Code ) Crime Rate
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Forgery",376,442,0.7
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Forgery, Cheating & Fraud (Total)",5775,6032,11.1
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |Fraud (Sec.420 r/w Sec.465,468-471 IPC/IT Act)",715,747,1.4
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |a) Bank",92,103,0.2
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |b) ATMs",69,82,0.1
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |c) Credit Card/Debit Card",86,87,0.2
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |d) Other Frauds",468,475,0.9
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,Offences Relating to Documents & Property Marks (Total),5821,6078,11.2
Andhra Pradesh,2018,Offences affecting the Human Body,Abetment of Suicide (Sec.305/306 IPC),519,590,1
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women (Sec.354 IPC),2327,2347,8.95
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC) (Total),4445,4485,17.0961538461538
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),251,255,0.965384615384615
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |Sexual Harassment (Sec.354A IPC) (Total),945,960,3.63461538461538
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |a) at Work or Office Premises,9,9,0.0346153846153846
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |b) In Public Transport System,6,7,0.0230769230769231
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |c) In Shelter Homes for women and Children,49,62,0.188461538461538
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |d) Other Places,881,882,3.38846153846154
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Stalking (Sec.354D IPC),811,812,3.11923076923077
Andhra Pradesh,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Voyeurism (Sec.354C IPC),111,111,0.426923076923077
Andhra Pradesh,2018,Offences affecting the Human Body,Attempt to Commit Murder (Sec.307 IPC),1827,1946,3.5
Andhra Pradesh,2018,Offences affecting the Human Body,Attempt to Commit Rape (Sec.376/511 IPC),191,192,0.734615384615385
Andhra Pradesh,2018,Offences affecting the Human Body,Attempt to Commit Suicide (Sec.309 IPC),368,0,0.7
Andhra Pradesh,2018,Offences affecting the Human Body,Attempt to commit Culpable Homicide (Sec.308 IPC),8,8,0
Andhra Pradesh,2018,Offences affecting the Human Body,Buying of Minors for Prostitution (Sec.373 IPC),0,0,0
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Causing Death by Negligence (Sec.304-A IPC) (Total),7169,9666,13.8
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Medical Negligence,1,1,0
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence of Civic Bodies,0,0,0
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Rail Accidents,8,14,0
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |A) Hit and Run,622,680,1.2
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |B) Other Accidents (other than Hit and Run),6243,8629,12
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |Deaths due to Negligence relating to Road Accidents (Total),6865,9309,13.2
Andhra Pradesh,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to other Negligence,295,342,0.6
Andhra Pradesh,2018,Offences affecting the Human Body,Culpable Homicide not amounting to Murder (Sec.304 IPC),266,296,0.5
Andhra Pradesh,2018,Offences affecting the Human Body,Dowry Deaths (Sec.304-B IPC),140,140,0.538461538461538
Andhra Pradesh,2018,Offences affecting the Human Body,Exploitation of Trafficked Person 370A IPC),53,74,0.1
Andhra Pradesh,2018,Offences affecting the Human Body,Human Trafficking (U/S 370),38,55,0.1
Andhra Pradesh,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |A) Voluntarily causing grievous hurt (Sec.325 IPC),192,258,0.4
Andhra Pradesh,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |B) Voluntarily causing grievous hurt by dangerous weapons or means (Sec.326 IPC),530,598,1
